tier	approved_symbol	ensembl_gene_id	entrez_id	gene_symbol	driver_confidence	mechanism	disorder_name	phenotype_mim	gene_mim	cytoband	inheritance	scope	evidence_quote	source_mim
confirmed	LMNB1	ENSG00000113368	4001	LMNB1	text	overexpression	LEUKODYSTROPHY, DEMYELINATING, ADULT-ONSET, AUTOSOMAL DOMINANT, TYPICAL; ADLDTY	169500	150340	5q23.2		region_driver	A number sign (#) is used with this entry because typical autosomal dominant adult-onset demyelinating leukodystrophy (ADLDTY) is caused by a heterozygous tandem genomic duplication on chromosome 5q23 that results in an extra copy of the lamin B1 gene (LMNB1; {150340}), but also alters regulatory sequences that affect expression of other genes.	169500
confirmed	MB	ENSG00000198125	4151	MB	text	overexpression	RECOMBINANT CHROMOSOME 8 SYNDROME	179613	160000	22q11.2-q13		region_driver	7-Mb duplication of 8q24.	179613
confirmed	MECP2	ENSG00000169057	4204	MECP2	definitive	overexpression	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUBS TYPE; MRXSL	300260	300005	Xq28		single_gene	A number sign (#) is used with this entry because Lubs-type X-linked syndromic intellectual developmental disorder (MRXSL) is caused by duplication or triplication of the gene encoding methyl-CpG-binding protein-2 (MECP2;	300260
confirmed	NF1	ENSG00000196712	4763	NF1	text	overexpression	CHROMOSOME 17q11.2 DUPLICATION SYNDROME, 1.4-MB	618874	613113	17q11.2		region_driver	(2008)} reported a large family segregating a microduplication of the NF1 microdeletion syndrome region.	618874
confirmed	NIPBL	ENSG00000164190	25836	NIPBL	text	overexpression	CHROMOSOME 5p13 DUPLICATION SYNDROME	613174	608667	5p13.1		region_driver	A number sign (#) is used with this entry because it represents a contiguous gene syndrome involving duplication of several genes on chromosome 5p13, including NIPBL ({608667}).	613174
confirmed	PLP1	ENSG00000123560	5354	PLP1	definitive	overexpression	PELIZAEUS-MERZBACHER DISEASE; PMD	312080	300401	Xq22		single_gene	(1973)} and by {67:Wilkus and Farrell (1976)} were found to have a duplication of the PLP1 ({300401.	312080
confirmed	PMP22	ENSG00000109099	5376	PMP22	definitive	overexpression	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1A; CMT1A	118220	601097	17p11.2		single_gene	A number sign (#) is used with this entry because Charcot-Marie-Tooth disease type 1A (CMT1A) is caused by duplication of, or mutation in, the gene encoding peripheral myelin protein-22 (PMP22;	118220
confirmed	PMP22	ENSG00000109099	5376	PMP22	text	overexpression	YUAN-HAREL-LUPSKI SYNDROME; YUHAL	616652	601097	17p11.2		region_driver	The disorder comprises features of both demyelinating Charcot-Marie-Tooth disease type 1A (CMT1A; {118220}), which results from duplication of the PMP22 gene on 17p12, and Potocki-Lupski syndrome (PTLS; {610883}), which results from duplication of a slightly proximal region on 17p11.	616652
confirmed	PRDM13	ENSG00000112238	59336	PRDM13	g2p:definitive	overexpression	PRDM13-related North Carolina macular dystrophy		616741	6q16.2		g2p	G2P 'increased gene product level' (definitive; panels: Eye); disease: PRDM13-related North Carolina macular dystrophy; PMIDs: 26507665; 27777503; 28973654	G2P:Eye
confirmed	PRKACA	ENSG00000072062	5566	PRKACA	definitive	overexpression	PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 4; PPNAD4	615830	601639	19p13.1		single_gene	Patient 2, who presented at age 2 years, had a distal duplication followed by a proximal triplication, which included PRKACA.	615830
confirmed	PTHLH	ENSG00000087494	5744	PTHLH	g2p:definitive	overexpression	PTHLH-related clubbing with skeletal dysplasia with acroosteolysis		168470	12p12.1-p11.2		g2p	G2P 'increased gene product level' (definitive; panels: dd); disease: PTHLH-related clubbing with skeletal dysplasia with acroosteolysis; PMIDs: 21082660; 25007883; 35908058	G2P:dd
confirmed	RAB39B	ENSG00000155961	116442	RAB39B	text	overexpression	CHROMOSOME Xq28 DUPLICATION SYNDROME	300815	300774	Xq28		region_driver	Overexpression of Rab39b in mouse primary hippocampal neurons resulted in a significant decrease in neuronal branching as well as a decrease in the number of synapses compared to controls.	300815
confirmed	RAI1	ENSG00000108557	10743	RAI1	text	overexpression	POTOCKI-LUPSKI SYNDROME; PTLS	610883	607642	17p11.2		region_driver	2, which included the RAI1 gene ({607642}), suggesting that this gene is mainly responsible for the phenotype.	610883
confirmed	RLIM	ENSG00000131263	51132	RLIM	text	overexpression	CHROMOSOME Xq13 DUPLICATION SYNDROME	301069	300379	Xq13-q21		region_driver	Increased dosage of the RLIM gene is believed to be primarily responsible for the phenotype ({1:Palmer et al.	301069
confirmed	RNF32	ENSG00000105982	140545	RNF32	text	overexpression	NEURONOPATHY, DISTAL HEREDITARY MOTOR, AUTOSOMAL DOMINANT 1; HMND1	182960	610241	7q36		region_driver	The novel structural variant (SV) involved the duplication of several protein-coding genes, including RNF32 ({610241}), LMBR1 ({605522}), NOM1 ({611269}), MNX1 ({142994}), partial duplication of UBE3C, and duplication of 3 long noncoding RNAs.	182960
confirmed	SEMA6B	ENSG00000167680	10501	SEMA6B	g2p:moderate	overexpression	SEMA6B-related neurodevelopmental disorder	618876	608873	19p13.3		g2p	G2P 'increased gene product level' (moderate; panels: dd); disease: SEMA6B-related neurodevelopmental disorder; PMIDs: 32169168; 33798445; 34017830; 34092044; 	G2P:dd
confirmed	SHANK3		85358	SHANK3	text	overexpression	CHROMOSOME 22q13 DUPLICATION SYNDROME	615538	606230	22q13.3		region_driver	On the basis of the phenotype of Shank3-overexpressing mice (see ANIMAL MODEL), {1:Han et al.	615538
confirmed	SNCA	ENSG00000145335	6622	SNCA	definitive	overexpression	PARKINSON DISEASE 4, AUTOSOMAL DOMINANT; PARK4	605543	163890	4q21		single_gene	A number sign (#) is used with this entry because autosomal dominant Parkinson disease-4 (PARK4) is caused by heterozygous triplication of the alpha-synuclein gene (SNCA;	605543
confirmed	SON	ENSG00000159140	6651	SON	text	overexpression	EYEBROWS, DUPLICATION OF, WITH STRETCHABLE SKIN AND SYNDACTYLY	227210	182465	21q22.1-q22.2		region_driver	(1988)} described partial duplication of the eyebrows with other anomalies in a 7-year-old son of parents related as half sibs.	227210
confirmed	SON	ENSG00000159140	6651	SON	text	overexpression	APHALANGIA, PARTIAL, WITH SYNDACTYLY AND DUPLICATION OF METATARSAL IV	600384	182465	21q22.1-q22.2		region_driver	(1995)} reported a Spanish family in which the father and a daughter and son had partial aphalangia, syndactyly with duplication of metatarsal IV, microcephaly, dull intelligence, and short stature.	600384
confirmed	SOX9	ENSG00000125398	6662	SOX9	definitive	overexpression	46,XX SEX REVERSAL 2; SRXX2	278850	608160	17q24.3-q25.1		single_gene	A number sign (#) is used with this entry because of evidence that familial 46,XX sex reversal is caused by heterozygous duplication or triplication of a 68-kb regulatory region (XXSR) -584 to -516 kb upstream of the SOX9 gene ({608160}) on chromosome 17q24.	278850
confirmed	TJP2	ENSG00000119139	9414	TJP2	text	overexpression	DEAFNESS, AUTOSOMAL DOMINANT 51; DFNA51	613558	607709	9q12-q13		region_driver	The distal breakpoint occurred in intron 2 of the FAM189A2 gene; however, there was no evidence of a mutant FAM189A2 transcript, and no correlation of genotype with expression of full-length FAM189A2 in the family, leading the authors to focus their studies on the duplication of TJP2.	613558
confirmed	XIAP	ENSG00000101966	331	XIAP	text	overexpression	CHROMOSOME Xq25 DUPLICATION SYNDROME	300979	300079	Xq25		region_driver	(2015)} identified 1 male (family SA1) with a triplication of Xq25, including the XIAP and STAG2 genes.	300979
confirmed	YWHAE	ENSG00000108953	7531	YWHAE	text	overexpression	CHROMOSOME 17p13.3, TELOMERIC, DUPLICATION SYNDROME	612576	605066	17p13.3		region_driver	The candidate region does not include the YWHAE gene ({605066}) and is telomeric to another duplication of 17p13.	612576
confirmed	YWHAE	ENSG00000108953	7531	YWHAE	text	overexpression	CHROMOSOME 17p13.3, CENTROMERIC, DUPLICATION SYNDROME	613215	605066	17p13.3		region_driver	Four individuals had a duplication of YWHAE but not LIS1, and 1 had a duplication of LIS1 but not YWHAE.	613215
probable	ARID1A	ENSG00000117713	8289	ARID1A	probable	overexpression(candidate)	COFFIN-SIRIS SYNDROME 2; CSS2	614607	603024	1p35.3		extended_candidate	The minimal critical region for the duplication was 122 kb (chr1:27,001,256-27,123,236, GRCh37) and included in every case full duplication of the ARID1A gene and partial duplication of the PIGV ({610274}) gene.	614607
probable	GRB10	ENSG00000106070	2887	GRB10	probable	overexpression(candidate)	SILVER-RUSSELL SYNDROME 2; SRS2	618905	601523	7p12-p11.2		extended_candidate	(1998)} suggested that, in the mouse, Grb10 is responsible for the imprinted effects of prenatal growth retardation or growth promotion caused by maternal or paternal duplication of proximal chromosome 11 with reciprocal deficiencies, respectively.	618905
probable	HYMAI	ENSG00000283122	57061	HYMAI	probable	overexpression(candidate)	DIABETES MELLITUS, TRANSIENT NEONATAL, 1; TNDM1	601410	606546	6q24		extended_candidate	A number sign (#) is used with this entry because transient neonatal diabetes mellitus-1 (TNDM1; '6q diabetes') is caused by overexpression of the paternal allele of the imprinted locus at chromosome 6q24, which contains only 2 expressed genes, PLAGL1 ({603044}) and HYMAI ({606546}).	601410
probable	LMNB1	ENSG00000113368	4001	LMNB1	probable	overexpression(candidate)	LEUKODYSTROPHY, DEMYELINATING, ADULT-ONSET, AUTOSOMAL DOMINANT, ATYPICAL; ADLDAT	621061	150340	5q23.2		extended_candidate	Postmortem examination of an affected individual showed overexpression of LMNB1 in the cortical frontal lobe.	621061
possible	ASIP	ENSG00000101440	434	ASIP	possible	overexpression(candidate)	OBESITY AND HYPOPIGMENTATION; OBHP	620195	600201	20q11.2		extended_candidate	Transcriptome-wide analysis for differentially expressed genes in patient SVF cells compared to control children revealed only 1 such gene, ASIP, which was highly overexpressed in the proband.	620195
possible	FRG1	ENSG00000109536	2483	FRG1	possible	overexpression(candidate)	FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1; FSHD1	158900	601278	4q35		extended_candidate	(2002)} found that in FSHD muscle, genes located upstream of D4Z4 on 4q35, including FRG1, FRG2 ({609032}), and ANT1 ({103220}), are inappropriately overexpressed.	158900
possible	GMDS	ENSG00000112699	2762	GMDS	possible	overexpression(candidate)	CHROMOSOME 6pter-p24 DELETION SYNDROME	612582	602884	6p25		extended_candidate	The combined genotype and phenotype data showed consistently more severe phenotypes among individuals with large compared to small deletions, suggesting contributions from more than 1 causative gene in the region; in addition, all 12 deletions involved the FOXC1 gene plus at least 2 exons of the GMDS gene ({602884}), implicating one or both of these genes as having a previously unrecognized role i	612582
possible	HIP1	ENSG00000127946	3092	HIP1	possible	overexpression(candidate)	CHROMOSOME 7q11.23 DELETION SYNDROME, DISTAL, 1.2-MB	613729	601767	7q11.23		extended_candidate	2-Mb duplication of the same region, and a father and son with a spinal cord schwannoma and posterior encephalocele, respectively, had a smaller duplication including the HIP1 gene.	613729
possible	HYDIN2		100288805	HYDIN2	possible	overexpression(candidate)	CHROMOSOME 1q21.1 DELETION SYNDROME, 1.35-MB	612474	610813	1q21.1		extended_candidate	(2008)} suggested that the HYDIN paralog located in the 1q21 interval (HYDIN2; {610813}) is a dosage-sensitive gene and that deletion of 1 copy is responsible for the microcephaly seen in their group of 21 probands with a 1q21 microdeletion.	612474
possible	KCTD13	ENSG00000174943	253980	KCTD13	possible	overexpression(candidate)	CHROMOSOME 16p11.2 DELETION SYNDROME, 593-KB	611913	608947	16p11.2		extended_candidate	Overexpression of each human transcript in zebrafish embryos identified KCTD13 as the sole message capable of inducing the microcephaly phenotype associated with the 16p11.	611913
possible	PDE4D	ENSG00000113448	5144	PDE4D	possible	overexpression(candidate)	CHROMOSOME 5q12 DELETION SYNDROME	615668	600129	5q12		extended_candidate	A third unrelated girl with a similar phenotype was found to carry a de novo heterozygous 784-kb intragenic duplication of exons 2 to 6 of the PDE4D gene, which resulted in a loss of gene function and haploinsufficiency like that of the first 2 girls.	615668
